Date,AverageRoomPrice,City,DataCollectingPeriod
2024-05-16,135.14673913043478,Osaka,2024-05-16 to 2024-06-20
2024-05-17,115.07340720221606,Osaka,2024-05-16 to 2024-06-20
2024-05-18,262.1672354948806,Osaka,2024-05-16 to 2024-06-20
2024-05-19,96.34065934065934,Osaka,2024-05-16 to 2024-06-20
2024-05-20,82.24395448079659,Osaka,2024-05-16 to 2024-06-20
2024-05-21,86.3841303205465,Osaka,2024-05-16 to 2024-06-20
2024-05-22,91.52075471698113,Osaka,2024-05-16 to 2024-06-20
2024-05-23,93.84170212765957,Osaka,2024-05-16 to 2024-06-20
2024-05-24,102.94654788418708,Osaka,2024-05-16 to 2024-06-20
2024-05-25,182.74274509803922,Osaka,2024-05-16 to 2024-06-20
2024-05-26,84.04067660088603,Osaka,2024-05-16 to 2024-06-20
2024-05-27,81.59095223030687,Osaka,2024-05-16 to 2024-06-20
2024-05-28,83.07287066246057,Osaka,2024-05-16 to 2024-06-20
2024-05-29,97.01907032181168,Osaka,2024-05-16 to 2024-06-20
2024-05-30,89.28773946360154,Osaka,2024-05-16 to 2024-06-20
2024-05-31,89.2921832884097,Osaka,2024-05-16 to 2024-06-20
2024-06-01,125.38894215404282,Osaka,2024-05-16 to 2024-06-20
2024-06-02,87.92596759675968,Osaka,2024-05-16 to 2024-06-20
2024-06-03,88.82059465815556,Osaka,2024-05-16 to 2024-06-20
2024-06-04,90.19018918466432,Osaka,2024-05-16 to 2024-06-20
2024-06-05,91.98579161028417,Osaka,2024-05-16 to 2024-06-20
2024-06-06,93.95230937414594,Osaka,2024-05-16 to 2024-06-20
2024-06-07,100.53071895424837,Osaka,2024-05-16 to 2024-06-20
2024-06-08,113.01144578313253,Osaka,2024-05-16 to 2024-06-20
2024-06-09,95.78685406319349,Osaka,2024-05-16 to 2024-06-20
2024-06-10,92.37726764680595,Osaka,2024-05-16 to 2024-06-20
2024-06-11,92.21730786007153,Osaka,2024-05-16 to 2024-06-20
2024-06-12,92.80081532816959,Osaka,2024-05-16 to 2024-06-20
2024-06-13,94.28341049382716,Osaka,2024-05-16 to 2024-06-20
2024-06-14,95.06199779423349,Osaka,2024-05-16 to 2024-06-20
2024-06-15,103.03792268759628,Osaka,2024-05-16 to 2024-06-20
2024-06-16,94.31783506510588,Osaka,2024-05-16 to 2024-06-20
2024-06-17,93.17445618396519,Osaka,2024-05-16 to 2024-06-20
2024-06-18,91.4357765207899,Osaka,2024-05-16 to 2024-06-20
2024-06-19,92.22258944845662,Osaka,2024-05-16 to 2024-06-20
2024-06-20,91.6321947206236,Osaka,2024-05-16 to 2024-06-20
2024-06-21,93.81533769183173,Osaka,2024-05-16 to 2024-06-20
2024-06-22,100.44445910757506,Osaka,2024-05-16 to 2024-06-20
2024-06-23,91.25704028500937,Osaka,2024-05-16 to 2024-06-20
2024-06-24,90.79039702829405,Osaka,2024-05-16 to 2024-06-20
2024-06-25,91.087000192179,Osaka,2024-05-16 to 2024-06-20
2024-06-26,91.46769907555169,Osaka,2024-05-16 to 2024-06-20
2024-06-27,91.49031958005214,Osaka,2024-05-16 to 2024-06-20
2024-06-28,93.35405737201717,Osaka,2024-05-16 to 2024-06-20
2024-06-29,99.37064371013615,Osaka,2024-05-16 to 2024-06-20
2024-06-30,91.9134329929207,Osaka,2024-05-16 to 2024-06-20
2024-07-01,86.78657061801243,Osaka,2024-05-16 to 2024-06-20
2024-07-02,87.34991841578533,Osaka,2024-05-16 to 2024-06-20
2024-07-03,88.45607640223966,Osaka,2024-05-16 to 2024-06-20
2024-07-04,88.47837672205185,Osaka,2024-05-16 to 2024-06-20
2024-07-05,91.32517396867655,Osaka,2024-05-16 to 2024-06-20
2024-07-06,109.89209470975771,Osaka,2024-05-16 to 2024-06-20
2024-07-07,89.0011894425043,Osaka,2024-05-16 to 2024-06-20
2024-07-08,88.70497946108766,Osaka,2024-05-16 to 2024-06-20
2024-07-09,87.91746478291691,Osaka,2024-05-16 to 2024-06-20
2024-07-10,89.66495664437011,Osaka,2024-05-16 to 2024-06-20
2024-07-11,88.08752885013539,Osaka,2024-05-16 to 2024-06-20
2024-07-12,95.25497921337798,Osaka,2024-05-16 to 2024-06-20
2024-07-13,106.27907632687649,Osaka,2024-05-16 to 2024-06-20
2024-07-14,104.00215133698862,Osaka,2024-05-16 to 2024-06-20
2024-07-15,91.67837227451356,Osaka,2024-05-16 to 2024-06-20
2024-07-16,92.14585527894086,Osaka,2024-05-16 to 2024-06-20
2024-07-17,92.1885581816368,Osaka,2024-05-16 to 2024-06-20
2024-07-18,92.04190155368273,Osaka,2024-05-16 to 2024-06-20
2024-07-19,94.42467127332759,Osaka,2024-05-16 to 2024-06-20
2024-07-20,103.31348216792462,Osaka,2024-05-16 to 2024-06-20
2024-07-21,92.78420403655475,Osaka,2024-05-16 to 2024-06-20
2024-07-22,93.12368990808149,Osaka,2024-05-16 to 2024-06-20
2024-07-23,93.51509857482641,Osaka,2024-05-16 to 2024-06-20
2024-07-24,93.39333641442461,Osaka,2024-05-16 to 2024-06-20
2024-07-25,93.59851726028381,Osaka,2024-05-16 to 2024-06-20
2024-07-26,95.04092917235646,Osaka,2024-05-16 to 2024-06-20
2024-07-27,105.02491652334596,Osaka,2024-05-16 to 2024-06-20
2024-07-28,93.71826953380915,Osaka,2024-05-16 to 2024-06-20
2024-07-29,92.73400129851329,Osaka,2024-05-16 to 2024-06-20
2024-07-30,93.07439616771185,Osaka,2024-05-16 to 2024-06-20
2024-07-31,93.42553757340453,Osaka,2024-05-16 to 2024-06-20
2024-08-01,108.595326110992,Osaka,2024-05-16 to 2024-06-20
2024-08-02,114.92224307627899,Osaka,2024-05-16 to 2024-06-20
2024-08-03,148.35868017609477,Osaka,2024-05-16 to 2024-06-20
2024-08-04,111.16923820275733,Osaka,2024-05-16 to 2024-06-20
2024-08-05,110.75792549530287,Osaka,2024-05-16 to 2024-06-20
2024-08-06,111.97078940240648,Osaka,2024-05-16 to 2024-06-20
2024-08-07,119.99331775243324,Osaka,2024-05-16 to 2024-06-20
2024-08-08,119.893202805872,Osaka,2024-05-16 to 2024-06-20
2024-08-09,125.11758459896133,Osaka,2024-05-16 to 2024-06-20
2024-08-10,136.2193752148071,Osaka,2024-05-16 to 2024-06-20
2024-08-11,132.3869786190875,Osaka,2024-05-16 to 2024-06-20
2024-08-12,125.35570547841208,Osaka,2024-05-16 to 2024-06-20
2024-08-13,124.79050325499108,Osaka,2024-05-16 to 2024-06-20
2024-08-14,124.28156583760871,Osaka,2024-05-16 to 2024-06-20
2024-08-15,124.28050521498186,Osaka,2024-05-16 to 2024-06-20
2024-08-16,124.91676781477163,Osaka,2024-05-16 to 2024-06-20
2024-08-17,132.10558414927542,Osaka,2024-05-16 to 2024-06-20
2024-08-18,119.55565362262222,Osaka,2024-05-16 to 2024-06-20
2024-08-19,121.00381509554163,Osaka,2024-05-16 to 2024-06-20
2024-08-20,118.26029595697932,Osaka,2024-05-16 to 2024-06-20
2024-08-21,117.27471677736892,Osaka,2024-05-16 to 2024-06-20
2024-08-22,119.72958271742479,Osaka,2024-05-16 to 2024-06-20
2024-08-23,122.99233098273363,Osaka,2024-05-16 to 2024-06-20
2024-08-24,128.48046680041574,Osaka,2024-05-16 to 2024-06-20
2024-08-25,120.01179250744302,Osaka,2024-05-16 to 2024-06-20
2024-08-26,119.45250845134402,Osaka,2024-05-16 to 2024-06-20
2024-08-27,119.48510043506371,Osaka,2024-05-16 to 2024-06-20
2024-08-28,118.01348785705044,Osaka,2024-05-16 to 2024-06-20
2024-08-29,120.04384484026114,Osaka,2024-05-16 to 2024-06-20
2024-08-30,121.66697930092312,Osaka,2024-05-16 to 2024-06-20
2024-08-31,127.45191978955539,Osaka,2024-05-16 to 2024-06-20
2024-09-01,83.81760203265776,Osaka,2024-05-16 to 2024-06-20
2024-09-02,83.5353837244661,Osaka,2024-05-16 to 2024-06-20
2024-09-03,84.48789142431845,Osaka,2024-05-16 to 2024-06-20
2024-09-04,84.99537575761161,Osaka,2024-05-16 to 2024-06-20
2024-09-05,84.72075184039906,Osaka,2024-05-16 to 2024-06-20
2024-09-06,89.77975547951701,Osaka,2024-05-16 to 2024-06-20
2024-09-07,101.06100524326618,Osaka,2024-05-16 to 2024-06-20
2024-09-08,92.01136742897661,Osaka,2024-05-16 to 2024-06-20
2024-09-09,88.87514163180322,Osaka,2024-05-16 to 2024-06-20
2024-09-10,90.96601543306909,Osaka,2024-05-16 to 2024-06-20
2024-09-11,89.67152679630087,Osaka,2024-05-16 to 2024-06-20
2024-09-12,92.64763212187397,Osaka,2024-05-16 to 2024-06-20
2024-09-13,93.87052242798835,Osaka,2024-05-16 to 2024-06-20
2024-09-14,106.34667994744312,Osaka,2024-05-16 to 2024-06-20
2024-09-15,101.1739510431219,Osaka,2024-05-16 to 2024-06-20
2024-09-16,91.8310442352021,Osaka,2024-05-16 to 2024-06-20
2024-09-17,91.22221338703942,Osaka,2024-05-16 to 2024-06-20
2024-09-18,91.7421581696467,Osaka,2024-05-16 to 2024-06-20
2024-09-19,92.5671773065104,Osaka,2024-05-16 to 2024-06-20
2024-09-20,94.73170426716261,Osaka,2024-05-16 to 2024-06-20
2024-09-21,109.18178809150358,Osaka,2024-05-16 to 2024-06-20
2024-09-22,101.07487281296704,Osaka,2024-05-16 to 2024-06-20
2024-09-23,91.01347485701926,Osaka,2024-05-16 to 2024-06-20
2024-09-24,90.36349313376597,Osaka,2024-05-16 to 2024-06-20
2024-09-25,91.96694115569855,Osaka,2024-05-16 to 2024-06-20
2024-09-26,92.83671618225931,Osaka,2024-05-16 to 2024-06-20
2024-09-27,95.61296272002527,Osaka,2024-05-16 to 2024-06-20
2024-09-28,102.12015303866636,Osaka,2024-05-16 to 2024-06-20
2024-09-29,93.29886940418898,Osaka,2024-05-16 to 2024-06-20
2024-09-30,92.0659000495182,Osaka,2024-05-16 to 2024-06-20
2024-10-01,109.18408568457379,Osaka,2024-05-16 to 2024-06-20
2024-10-02,110.38650672523121,Osaka,2024-05-16 to 2024-06-20
2024-10-03,110.04500198256083,Osaka,2024-05-16 to 2024-06-20
2024-10-04,115.12395227055484,Osaka,2024-05-16 to 2024-06-20
2024-10-05,134.3375446837572,Osaka,2024-05-16 to 2024-06-20
2024-10-06,109.89220258071354,Osaka,2024-05-16 to 2024-06-20
2024-10-07,108.11244362439174,Osaka,2024-05-16 to 2024-06-20
2024-10-08,109.53299518015663,Osaka,2024-05-16 to 2024-06-20
2024-10-09,110.12062509004086,Osaka,2024-05-16 to 2024-06-20
2024-10-10,109.51340836607017,Osaka,2024-05-16 to 2024-06-20
2024-10-11,113.44472237580982,Osaka,2024-05-16 to 2024-06-20
2024-10-12,123.52965299918465,Osaka,2024-05-16 to 2024-06-20
2024-10-13,122.0924468836589,Osaka,2024-05-16 to 2024-06-20
2024-10-14,111.07715739950314,Osaka,2024-05-16 to 2024-06-20
2024-10-15,110.64359544940764,Osaka,2024-05-16 to 2024-06-20
2024-10-16,111.10912244836877,Osaka,2024-05-16 to 2024-06-20
2024-10-17,111.2716244936828,Osaka,2024-05-16 to 2024-06-20
2024-10-18,113.12512072994855,Osaka,2024-05-16 to 2024-06-20
2024-10-19,120.15120721713639,Osaka,2024-05-16 to 2024-06-20
2024-10-20,110.5509570478903,Osaka,2024-05-16 to 2024-06-20
2024-10-21,110.46225680137186,Osaka,2024-05-16 to 2024-06-20
2024-10-22,109.55495903428333,Osaka,2024-05-16 to 2024-06-20
2024-10-23,110.71043103989864,Osaka,2024-05-16 to 2024-06-20
2024-10-24,110.88239281952183,Osaka,2024-05-16 to 2024-06-20
2024-10-25,113.119495625475,Osaka,2024-05-16 to 2024-06-20
2024-10-26,124.68122166418274,Osaka,2024-05-16 to 2024-06-20
2024-10-27,110.9951249078512,Osaka,2024-05-16 to 2024-06-20
2024-10-28,110.71286424362985,Osaka,2024-05-16 to 2024-06-20
2024-10-29,110.62631235555888,Osaka,2024-05-16 to 2024-06-20
2024-10-30,110.7554999154932,Osaka,2024-05-16 to 2024-06-20
2024-10-31,110.87270710598928,Osaka,2024-05-16 to 2024-06-20
2024-11-01,124.87664230063321,Osaka,2024-05-16 to 2024-06-20
2024-11-02,148.10579544685976,Osaka,2024-05-16 to 2024-06-20
2024-11-03,138.56888143101824,Osaka,2024-05-16 to 2024-06-20
2024-11-04,117.76365731325623,Osaka,2024-05-16 to 2024-06-20
2024-11-05,117.09202749761039,Osaka,2024-05-16 to 2024-06-20
2024-11-06,120.03329714612022,Osaka,2024-05-16 to 2024-06-20
2024-11-07,125.67917816731892,Osaka,2024-05-16 to 2024-06-20
2024-11-08,128.26915834332362,Osaka,2024-05-16 to 2024-06-20
2024-11-09,140.31877346042964,Osaka,2024-05-16 to 2024-06-20
2024-11-10,125.0301558865799,Osaka,2024-05-16 to 2024-06-20
2024-11-11,124.33718400345097,Osaka,2024-05-16 to 2024-06-20
2024-11-12,124.59173028176285,Osaka,2024-05-16 to 2024-06-20
2024-11-13,124.81045179528226,Osaka,2024-05-16 to 2024-06-20
2024-11-14,123.75762259350488,Osaka,2024-05-16 to 2024-06-20
2024-11-15,128.12937439428637,Osaka,2024-05-16 to 2024-06-20
2024-11-16,135.30436914460628,Osaka,2024-05-16 to 2024-06-20
2024-11-17,125.3252789338258,Osaka,2024-05-16 to 2024-06-20
2024-11-18,122.95220803746058,Osaka,2024-05-16 to 2024-06-20
2024-11-19,124.51209427484669,Osaka,2024-05-16 to 2024-06-20
2024-11-20,124.81538970677052,Osaka,2024-05-16 to 2024-06-20
2024-11-21,125.58620928547134,Osaka,2024-05-16 to 2024-06-20
2024-11-22,128.8034799039928,Osaka,2024-05-16 to 2024-06-20
2024-11-23,136.8428503300703,Osaka,2024-05-16 to 2024-06-20
2024-11-24,124.9557821145132,Osaka,2024-05-16 to 2024-06-20
2024-11-25,124.53634960781837,Osaka,2024-05-16 to 2024-06-20
2024-11-26,122.95176129595195,Osaka,2024-05-16 to 2024-06-20
2024-11-27,124.87136845353616,Osaka,2024-05-16 to 2024-06-20
2024-11-28,123.79629939803715,Osaka,2024-05-16 to 2024-06-20
2024-11-29,128.2157108820349,Osaka,2024-05-16 to 2024-06-20
2024-11-30,135.32475258946099,Osaka,2024-05-16 to 2024-06-20
2024-12-01,102.90288140173527,Osaka,2024-05-16 to 2024-06-20
2024-12-02,103.61666695608498,Osaka,2024-05-16 to 2024-06-20
2024-12-03,103.06880430922153,Osaka,2024-05-16 to 2024-06-20
2024-12-04,103.08180817951096,Osaka,2024-05-16 to 2024-06-20
2024-12-05,104.53143044091534,Osaka,2024-05-16 to 2024-06-20
2024-12-06,108.41787585587964,Osaka,2024-05-16 to 2024-06-20
2024-12-07,118.93170830657628,Osaka,2024-05-16 to 2024-06-20
2024-12-08,106.2106281304253,Osaka,2024-05-16 to 2024-06-20
2024-12-09,105.5595701718297,Osaka,2024-05-16 to 2024-06-20
2024-12-10,105.31324094342125,Osaka,2024-05-16 to 2024-06-20
2024-12-11,106.08321445326945,Osaka,2024-05-16 to 2024-06-20
2024-12-12,108.01607928694328,Osaka,2024-05-16 to 2024-06-20
2024-12-13,110.68944087864476,Osaka,2024-05-16 to 2024-06-20
2024-12-14,118.6888735720806,Osaka,2024-05-16 to 2024-06-20
2024-12-15,107.48733722620159,Osaka,2024-05-16 to 2024-06-20
2024-12-16,106.42127111952473,Osaka,2024-05-16 to 2024-06-20
2024-12-17,106.61710479026165,Osaka,2024-05-16 to 2024-06-20
2024-12-18,106.52555850859831,Osaka,2024-05-16 to 2024-06-20
2024-12-19,106.70807459774444,Osaka,2024-05-16 to 2024-06-20
2024-12-20,110.5029181947373,Osaka,2024-05-16 to 2024-06-20
2024-12-21,120.7446718826478,Osaka,2024-05-16 to 2024-06-20
2024-12-22,109.17319768925442,Osaka,2024-05-16 to 2024-06-20
2024-12-23,108.34213408241482,Osaka,2024-05-16 to 2024-06-20
2024-12-24,114.27111617832837,Osaka,2024-05-16 to 2024-06-20
2024-12-25,113.23523701216355,Osaka,2024-05-16 to 2024-06-20
2024-12-26,111.12571524389607,Osaka,2024-05-16 to 2024-06-20
2024-12-27,116.6542684800922,Osaka,2024-05-16 to 2024-06-20
2024-12-28,123.59513155607523,Osaka,2024-05-16 to 2024-06-20
2024-12-29,119.47168178322843,Osaka,2024-05-16 to 2024-06-20
2024-12-30,123.3157567810051,Osaka,2024-05-16 to 2024-06-20
2024-12-31,125.52660212077222,Osaka,2024-05-16 to 2024-06-20
